Name,Length,Status,Premium,URL,Registered,Expires,Grace Period Ends,Price Premium Ends
aabb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/111642406503306070287993081973775951414017188480967273410449263764283948782597,2021-09-15 07:42:26,2022-09-15 13:31:38,2022-12-14 13:31:38,2023-01-04 13:31:38
aacc,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/7325298480075374024768869604394382133058798824552148723951429823788158662375,2022-04-28 15:16:25,2023-04-28 21:05:37,2023-07-27 21:05:37,2023-08-17 21:05:37
aadd,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/13932692594184541038136635873500793429738645963109367700748355803012858605703,2022-04-30 19:35:07,2023-05-01 01:24:19,2023-07-30 01:24:19,2023-08-20 01:24:19
aaee,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/24625817040334684569245638850060517507473794876462776977194312195471857580400,2022-04-30 19:40:23,2023-05-01 01:29:35,2023-07-30 01:29:35,2023-08-20 01:29:35
aaff,4,Never Registered,,https://app.ens.domains/name/aaff.eth/register,,,,
aagg,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/43873768738387388051511506097175965902882927970073572989898705449817134443230,2021-09-07 13:48:18,2026-09-07 18:54:18,2026-12-06 18:54:18,2026-12-27 18:54:18
aahh,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/42388336565731043347215795824659147580658690693219711000458229763935005315223,2022-05-02 22:25:29,2023-05-03 04:14:41,2023-08-01 04:14:41,2023-08-22 04:14:41
aaii,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/99694728496433227220161733896515397247078585130847391731334143533136624252623,2022-04-30 00:09:04,2023-04-30 05:58:16,2023-07-29 05:58:16,2023-08-19 05:58:16
aajj,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/112962629668216347276085124865251087379855117725096048641981511134062458337236,2022-04-28 07:34:35,2023-04-28 13:23:47,2023-07-27 13:23:47,2023-08-17 13:23:47
aakk,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/11949678612673558446720767710324059653486377290390797546894268093533848448438,2021-11-24 03:34:29,2022-11-24 09:23:41,2023-02-22 09:23:41,2023-03-15 09:23:41
aall,4,Never Registered,,https://app.ens.domains/name/aall.eth/register,,,,
aamm,4,Never Registered,,https://app.ens.domains/name/aamm.eth/register,,,,
aann,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/72083125797920690289280359879599474424279126998386033304435730072709755455668,2022-05-01 07:25:14,2023-05-01 13:14:26,2023-07-30 13:14:26,2023-08-20 13:14:26
aaoo,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/31939060554748792568491835316043336670104331415926760191217904003234097191499,2022-05-01 07:13:05,2023-05-01 13:02:17,2023-07-30 13:02:17,2023-08-20 13:02:17
aapp,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/68238000390055380938813089427632572851614874854761068609083127193478752079965,2022-04-27 12:36:29,2024-04-27 00:14:53,2024-07-26 00:14:53,2024-08-16 00:14:53
aaqq,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/97332684357070779442076482774287425952933728415499845928762330712327659996972,2022-04-28 07:31:39,2023-04-28 13:20:51,2023-07-27 13:20:51,2023-08-17 13:20:51
aarr,4,Never Registered,,https://app.ens.domains/name/aarr.eth/register,,,,
aass,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/79937024535433225112479713618073692119299122417967261025376259216437805677017,2021-12-20 06:38:07,2022-12-20 12:27:19,2023-03-20 12:27:19,2023-04-10 12:27:19
aatt,4,Never Registered,,https://app.ens.domains/name/aatt.eth/register,,,,
aauu,4,Never Registered,,https://app.ens.domains/name/aauu.eth/register,,,,
aavv,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/78695434550877260567161782686454657040514159079204778307713460227971018307551,2022-05-02 05:27:22,2023-05-02 11:16:34,2023-07-31 11:16:34,2023-08-21 11:16:34
aaww,4,Never Registered,,https://app.ens.domains/name/aaww.eth/register,,,,
aaxx,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/71181337886201728905949260449572103565442703305415952679001107092063018124226,2022-05-04 01:05:43,2023-05-04 06:54:55,2023-08-02 06:54:55,2023-08-23 06:54:55
aayy,4,Never Registered,,https://app.ens.domains/name/aayy.eth/register,,,,
aazz,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/25041393386695550352698260774357651364002323166313424982413189044869546427201,2022-04-28 21:40:21,2023-04-29 03:29:33,2023-07-28 03:29:33,2023-08-18 03:29:33
bbaa,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/109537425318610342366635799784372038576512294362656769816623765215585168870486,2022-04-30 19:46:28,2023-05-01 01:35:40,2023-07-30 01:35:40,2023-08-20 01:35:40
bbcc,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/32238663351109880582137040960970836107883823194009203550678071058198050924763,2021-11-10 20:05:00,2022-11-11 01:54:12,2023-02-09 01:54:12,2023-03-02 01:54:12
bbdd,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/101507228989558200789957313184580523525097256243492669624340225886564736772897,2022-04-30 03:52:13,2023-04-30 09:41:25,2023-07-29 09:41:25,2023-08-19 09:41:25
bbee,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/28583826816826723613049760834656736647867023574487648701909912962586714837124,2022-05-03 03:36:01,2022-06-08 16:10:56,2022-09-06 16:10:56,2022-09-27 16:10:56
bbff,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/76014955932906459015816214216858151164888714761029658503505799256522771446772,2022-05-02 02:35:45,2024-05-01 14:14:09,2024-07-30 14:14:09,2024-08-20 14:14:09
bbgg,4,Never Registered,,https://app.ens.domains/name/bbgg.eth/register,,,,
bbhh,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/43419705817457092226836003502181947112138144938818135652386912119431929103138,2022-05-04 01:50:27,2023-05-04 07:39:39,2023-08-02 07:39:39,2023-08-23 07:39:39
bbii,4,Never Registered,,https://app.ens.domains/name/bbii.eth/register,,,,
bbjj,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/28124310170617556021842901249219191474513711290920494510774427515137318608387,2022-05-02 23:58:42,2023-05-03 05:47:54,2023-08-01 05:47:54,2023-08-22 05:47:54
bbkk,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/80599769873407043403446569089270056292492601710658368023447427687296550616845,2022-04-30 19:25:47,2025-04-30 12:53:23,2025-07-29 12:53:23,2025-08-19 12:53:23
bbll,4,Never Registered,,https://app.ens.domains/name/bbll.eth/register,,,,
bbmm,4,Never Registered,,https://app.ens.domains/name/bbmm.eth/register,,,,
bbnn,4,Never Registered,,https://app.ens.domains/name/bbnn.eth/register,,,,
bboo,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/109547368963849731567226988906553987105159863390187834535820869926567031984596,2021-07-20 04:58:12,2022-07-20 10:47:24,2022-10-18 10:47:24,2022-11-08 10:47:24
bbpp,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/85482844234725172239784067238635506318947362284910412247440168585610693026028,2022-05-03 04:48:53,2022-06-01 10:04:49,2022-08-30 10:04:49,2022-09-20 10:04:49
bbqq,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/113901063910242602587802949716249830608420551608380332427595456314822896422231,2022-05-03 04:46:03,2022-06-01 10:01:59,2022-08-30 10:01:59,2022-09-20 10:01:59
bbrr,4,Never Registered,,https://app.ens.domains/name/bbrr.eth/register,,,,
bbss,4,Never Registered,,https://app.ens.domains/name/bbss.eth/register,,,,
bbtt,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/114843636575165086453848410667356483101473756026343471396067325716789876148931,2022-05-02 21:42:59,2022-05-31 21:42:59,2022-08-29 21:42:59,2022-09-19 21:42:59
bbuu,4,Never Registered,,https://app.ens.domains/name/bbuu.eth/register,,,,
bbvv,4,Never Registered,,https://app.ens.domains/name/bbvv.eth/register,,,,
bbww,4,Never Registered,,https://app.ens.domains/name/bbww.eth/register,,,,
bbxx,4,Never Registered,,https://app.ens.domains/name/bbxx.eth/register,,,,
bbyy,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/99986576372592152783099166797319689710815005034848923325247692215959860239331,2022-04-30 15:30:47,2022-06-06 04:05:42,2022-09-04 04:05:42,2022-09-25 04:05:42
bbzz,4,Never Registered,,https://app.ens.domains/name/bbzz.eth/register,,,,
ccaa,4,Never Registered,,https://app.ens.domains/name/ccaa.eth/register,,,,
ccbb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/73182576841977832630678678214433116329918046920856379658794049134354670418448,2022-05-02 02:18:08,2025-05-01 19:45:44,2025-07-30 19:45:44,2025-08-20 19:45:44
ccdd,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/64574031526391089642729738880313903101935266221087876300647682481539022568322,2022-04-28 08:41:01,2024-04-27 20:19:25,2024-07-26 20:19:25,2024-08-16 20:19:25
ccee,4,Never Registered,,https://app.ens.domains/name/ccee.eth/register,,,,
ccff,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/41591332252988188608158696201075189984039153930145184321237728896879602145083,2022-05-03 06:43:39,2022-06-05 03:39:04,2022-09-03 03:39:04,2022-09-24 03:39:04
ccgg,4,Never Registered,,https://app.ens.domains/name/ccgg.eth/register,,,,
cchh,4,Never Registered,,https://app.ens.domains/name/cchh.eth/register,,,,
ccii,4,Never Registered,,https://app.ens.domains/name/ccii.eth/register,,,,
ccjj,4,Never Registered,,https://app.ens.domains/name/ccjj.eth/register,,,,
cckk,4,Never Registered,,https://app.ens.domains/name/cckk.eth/register,,,,
ccll,4,Never Registered,,https://app.ens.domains/name/ccll.eth/register,,,,
ccmm,4,Never Registered,,https://app.ens.domains/name/ccmm.eth/register,,,,
ccnn,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/89945667675534050299789531122951801319981935379921214671279596939196406294889,2022-05-03 02:38:52,2022-06-01 07:54:48,2022-08-30 07:54:48,2022-09-20 07:54:48
ccoo,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/101716918691968900209304804990039416996467457072247105907256553029047501899591,2022-04-28 02:38:29,2023-04-28 08:27:41,2023-07-27 08:27:41,2023-08-17 08:27:41
ccpp,4,Never Registered,,https://app.ens.domains/name/ccpp.eth/register,,,,
ccqq,4,Never Registered,,https://app.ens.domains/name/ccqq.eth/register,,,,
ccrr,4,Never Registered,,https://app.ens.domains/name/ccrr.eth/register,,,,
ccss,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/6333443892118276820702851542831191121823325580654568662041218858972527228253,2022-05-03 03:19:09,2022-06-08 15:54:04,2022-09-06 15:54:04,2022-09-27 15:54:04
cctt,4,Never Registered,,https://app.ens.domains/name/cctt.eth/register,,,,
ccuu,4,Never Registered,,https://app.ens.domains/name/ccuu.eth/register,,,,
ccvv,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/18682709880600913606264021091416046943843078911869649139616577001126667618540,2022-05-05 03:30:39,2025-05-04 20:58:15,2025-08-02 20:58:15,2025-08-23 20:58:15
ccww,4,Never Registered,,https://app.ens.domains/name/ccww.eth/register,,,,
ccxx,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/64571922548500648564600710948742414909558041659739458045435414395037903225975,2022-05-01 05:17:04,2023-05-01 11:06:16,2023-07-30 11:06:16,2023-08-20 11:06:16
ccyy,4,Never Registered,,https://app.ens.domains/name/ccyy.eth/register,,,,
cczz,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/35033977042606160730805242648566490994994755195709251175452187965959951341124,2022-05-02 12:29:54,2023-05-02 18:19:06,2023-07-31 18:19:06,2023-08-21 18:19:06
ddaa,4,Never Registered,,https://app.ens.domains/name/ddaa.eth/register,,,,
ddbb,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/72304188314425024663816663184765180418891843885394824484333395688228654657333,2022-05-01 04:32:42,2025-04-30 22:00:18,2025-07-29 22:00:18,2025-08-19 22:00:18
ddcc,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/33421373500587542024113779372677973196655771257368798995580564934111458017360,2022-04-29 03:55:36,2023-04-29 09:44:48,2023-07-28 09:44:48,2023-08-18 09:44:48
ddee,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/21374225543830464463490195129185574795460093683249602139090693858453988532323,2022-05-01 07:46:24,2023-05-01 13:35:36,2023-07-30 13:35:36,2023-08-20 13:35:36
ddff,4,Never Registered,,https://app.ens.domains/name/ddff.eth/register,,,,
ddgg,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/22660297912238308944991288809479357480182460452942453834639567991843984029601,2022-05-03 01:14:48,2023-05-03 07:04:00,2023-08-01 07:04:00,2023-08-22 07:04:00
ddhh,4,Never Registered,,https://app.ens.domains/name/ddhh.eth/register,,,,
ddii,4,Never Registered,,https://app.ens.domains/name/ddii.eth/register,,,,
ddjj,4,Never Registered,,https://app.ens.domains/name/ddjj.eth/register,,,,
ddkk,4,Never Registered,,https://app.ens.domains/name/ddkk.eth/register,,,,
ddll,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/72917184399827249395543982971057067995613194987752229847402177738421625652925,2022-05-03 05:44:33,2023-05-03 11:33:45,2023-08-01 11:33:45,2023-08-22 11:33:45
ddmm,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/80881706798678237612673623858406295587751863855376129966133922503415420190844,2022-05-01 06:56:26,2023-05-01 12:45:38,2023-07-30 12:45:38,2023-08-20 12:45:38
ddnn,4,Never Registered,,https://app.ens.domains/name/ddnn.eth/register,,,,
ddoo,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/1078730786013763015244618514461823436644979115963787867595721063877553983624,2022-05-01 08:12:02,2023-05-01 14:01:14,2023-07-30 14:01:14,2023-08-20 14:01:14
ddpp,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/98896019197191666970068053498373196327935947551604826901707053021077784638455,2022-05-03 04:42:16,2022-06-01 09:58:12,2022-08-30 09:58:12,2022-09-20 09:58:12
ddqq,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/61330614376659363210766315426929848427786670553538653883153523050849397780640,2022-05-03 04:38:54,2022-06-01 09:54:50,2022-08-30 09:54:50,2022-09-20 09:54:50
ddrr,4,Never Registered,,https://app.ens.domains/name/ddrr.eth/register,,,,
ddss,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/22420447333383766861432475562233321731024249665923942009123784808534407367896,2022-01-25 14:55:00,2023-01-25 20:44:12,2023-04-25 20:44:12,2023-05-16 20:44:12
ddtt,4,Never Registered,,https://app.ens.domains/name/ddtt.eth/register,,,,
dduu,4,Never Registered,,https://app.ens.domains/name/dduu.eth/register,,,,
ddvv,4,Never Registered,,https://app.ens.domains/name/ddvv.eth/register,,,,
ddww,4,Never Registered,,https://app.ens.domains/name/ddww.eth/register,,,,
ddxx,4,Never Registered,,https://app.ens.domains/name/ddxx.eth/register,,,,
ddyy,4,Never Registered,,https://app.ens.domains/name/ddyy.eth/register,,,,
ddzz,4,Never Registered,,https://app.ens.domains/name/ddzz.eth/register,,,,
eeaa,4,Never Registered,,https://app.ens.domains/name/eeaa.eth/register,,,,
eebb,4,Never Registered,,https://app.ens.domains/name/eebb.eth/register,,,,
eecc,4,Never Registered,,https://app.ens.domains/name/eecc.eth/register,,,,
eedd,4,Never Registered,,https://app.ens.domains/name/eedd.eth/register,,,,
eeff,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/99472805980711742992436093862613763359453672625695729187615822420551252827231,2022-05-01 08:27:29,2023-05-01 14:16:41,2023-07-30 14:16:41,2023-08-20 14:16:41
eegg,4,Never Registered,,https://app.ens.domains/name/eegg.eth/register,,,,
eehh,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/15670727372798021391280410056227868520583761979487890552714837856516435308933,2022-04-30 13:17:49,2022-05-28 16:15:54,2022-08-26 16:15:54,2022-09-16 16:15:54
eeii,4,Never Registered,,https://app.ens.domains/name/eeii.eth/register,,,,
eejj,4,Never Registered,,https://app.ens.domains/name/eejj.eth/register,,,,
eekk,4,Never Registered,,https://app.ens.domains/name/eekk.eth/register,,,,
eell,4,Never Registered,,https://app.ens.domains/name/eell.eth/register,,,,
eemm,4,Never Registered,,https://app.ens.domains/name/eemm.eth/register,,,,
eenn,4,Never Registered,,https://app.ens.domains/name/eenn.eth/register,,,,
eeoo,4,Never Registered,,https://app.ens.domains/name/eeoo.eth/register,,,,
eepp,4,Never Registered,,https://app.ens.domains/name/eepp.eth/register,,,,
eeqq,4,Never Registered,,https://app.ens.domains/name/eeqq.eth/register,,,,
eerr,4,Never Registered,,https://app.ens.domains/name/eerr.eth/register,,,,
eess,4,Never Registered,,https://app.ens.domains/name/eess.eth/register,,,,
eett,4,Never Registered,,https://app.ens.domains/name/eett.eth/register,,,,
eeuu,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/13869780099168626365190713458319547280315333321813625984859208849596394785255,2020-10-14 23:07:14,2022-10-15 10:45:38,2023-01-13 10:45:38,2023-02-03 10:45:38
eevv,4,Never Registered,,https://app.ens.domains/name/eevv.eth/register,,,,
eeww,4,Never Registered,,https://app.ens.domains/name/eeww.eth/register,,,,
eexx,4,Never Registered,,https://app.ens.domains/name/eexx.eth/register,,,,
eeyy,4,Never Registered,,https://app.ens.domains/name/eeyy.eth/register,,,,
eezz,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/105445930794259376967888031168289147726977922060126935669373551101064344183830,2022-04-30 15:32:22,2023-04-30 21:21:34,2023-07-29 21:21:34,2023-08-19 21:21:34
ffaa,4,Never Registered,,https://app.ens.domains/name/ffaa.eth/register,,,,
ffbb,4,Never Registered,,https://app.ens.domains/name/ffbb.eth/register,,,,
ffcc,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/101942342804590091981243344261034804072316024551893875958348935799113341584152,2022-05-01 07:43:49,2023-05-01 13:33:01,2023-07-30 13:33:01,2023-08-20 13:33:01
ffdd,4,Never Registered,,https://app.ens.domains/name/ffdd.eth/register,,,,
ffee,4,Never Registered,,https://app.ens.domains/name/ffee.eth/register,,,,
ffgg,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/91163700594296313540537596016603203093466793074607763031419490855508025458149,2022-05-03 02:21:54,2022-06-01 07:37:50,2022-08-30 07:37:50,2022-09-20 07:37:50
ffhh,4,Never Registered,,https://app.ens.domains/name/ffhh.eth/register,,,,
ffii,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/29822524514771495988837656720661715671274204849576859032882651034856332193987,2022-05-03 05:19:02,2022-06-01 10:34:58,2022-08-30 10:34:58,2022-09-20 10:34:58
ffjj,4,Never Registered,,https://app.ens.domains/name/ffjj.eth/register,,,,
ffkk,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/15352207555875092539558344063816102658078381377398611036515163618245604081615,2022-05-02 21:16:45,2022-06-30 07:48:37,2022-09-28 07:48:37,2022-10-19 07:48:37
ffll,4,Never Registered,,https://app.ens.domains/name/ffll.eth/register,,,,
ffmm,4,Never Registered,,https://app.ens.domains/name/ffmm.eth/register,,,,
ffnn,4,Never Registered,,https://app.ens.domains/name/ffnn.eth/register,,,,
ffoo,4,Never Registered,,https://app.ens.domains/name/ffoo.eth/register,,,,
ffpp,4,Never Registered,,https://app.ens.domains/name/ffpp.eth/register,,,,
ffqq,4,Never Registered,,https://app.ens.domains/name/ffqq.eth/register,,,,
