Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
0x0,0x61a9701d6358fb860574ad778fb19f6168deb55f,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/54150054000164941675390259045115203326037893245501150849182749919201908758544,2020-12-17 06:06:08,2020-12-17 06:06:08,2023-12-17 23:33:44,2024-03-16 23:33:44,2024-04-06 23:33:44
0x1,0x22410dea392f1353c316a0f21ef0f36463100589,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/62432108329564178383255170694663347557424097136529787829583401216295056205379,2020-09-07 22:19:32,2020-09-07 22:19:32,2022-09-08 09:57:56,2022-12-07 09:57:56,2022-12-28 09:57:56
0x2,0x2222222229b89c7844f19ef503c4dc503be47f84,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/92509134768190587119088376435002208647851121060143263932875215089967733324690,2020-12-08 18:46:52,2020-12-08 18:46:52,2023-12-09 12:14:28,2024-03-08 12:14:28,2024-03-29 12:14:28
0x3,0x8d69a355117c12a74a15d58bfb1303e6c110d518,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/1324904887013455203527194722010460967762793429137898373629911136958084583435,2021-04-13 01:37:49,2021-04-13 01:37:49,2023-04-13 13:16:13,2023-07-12 13:16:13,2023-08-02 13:16:13
0x4,0x95dcfb46f894681b8f23584bc1f2924651f23f77,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/39559565985096985950136960230636863282131715541408245492006395963487729978751,2021-08-25 08:05:20,2021-08-25 08:05:20,2022-08-25 13:54:32,2022-11-23 13:54:32,2022-12-14 13:54:32
0x5,0x95dcfb46f894681b8f23584bc1f2924651f23f77,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/89895729449727245069782143449625671226650153695515666490122487642977865065311,2021-08-25 08:13:40,2021-08-25 08:13:40,2022-08-25 14:02:52,2022-11-23 14:02:52,2022-12-14 14:02:52
0x6,0x95dcfb46f894681b8f23584bc1f2924651f23f77,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/114057945720985919470111787414876516145593597370433740063318244375692300171747,2021-08-25 08:28:24,2021-08-25 08:28:24,2022-08-25 14:17:36,2022-11-23 14:17:36,2022-12-14 14:17:36
0x7,0x95dcfb46f894681b8f23584bc1f2924651f23f77,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/1822456037698063798519625814596377223794249664416004701824279290106916706313,2021-08-25 08:33:58,2021-08-25 08:33:58,2022-08-25 14:23:10,2022-11-23 14:23:10,2022-12-14 14:23:10
0x8,0x88888888cd4f09c99e2d467e250b770dac45debe,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/85750333000841917629567020274618543072183134513288368297458505951340434893273,2021-05-18 04:38:38,2021-05-18 04:38:38,2023-05-18 16:17:02,2023-08-16 16:17:02,2023-09-06 16:17:02
0x9,0x95dcfb46f894681b8f23584bc1f2924651f23f77,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/9669844402299551906857692349088176001372704311109510007657791585924310205675,2021-08-25 07:50:31,2021-08-25 07:50:31,2023-08-25 19:28:55,2023-11-23 19:28:55,2023-12-14 19:28:55